,elevation,mindate,maxdate,latitude,name,datacoverage,id,elevationUnit,longitude
24,223.1,1931-01-01,1970-12-01,32.6,"AUBURN, AL US",0.9917,COOP:010422,METERS,-85.5
25,166.1,1996-08-01,2015-11-01,32.5992,"AUBURN NUMBER 2, AL US",0.9828,COOP:010425,METERS,-85.4653
26,198.7,1948-01-01,1962-09-01,32.6,"AUBURN AGRONOMY FARM, AL US",1.0,COOP:010427,METERS,-85.5
27,198.7,1976-01-01,1996-07-01,32.6,"AUBURN AGRONOMY FARM, AL US",0.9673,COOP:010430,METERS,-85.5
28,61.0,1940-11-01,2001-09-01,32.47056,"AUTAUGAVILLE 3 N, AL US",0.9658,COOP:010440,METERS,-86.68
29,85.3,1957-01-01,2015-11-01,33.4527,"BANKHEAD LOCK AND DAM, AL US",1.0,COOP:010505,METERS,-87.3572
30,139.9,1949-01-01,1953-04-01,34.71667,"BARTON, AL US",0.9819,COOP:010546,METERS,-87.86667
31,82.6,1931-01-01,2015-11-01,30.884,"BAY MINETTE, AL US",0.9313,COOP:010583,METERS,-87.7852
32,54.3,1942-01-01,2000-11-01,31.72222,"BEATRICE, AL US",0.5927,COOP:010616,METERS,-87.21194
33,246.9,1948-01-01,1962-03-01,34.46667,"BELGREEN, AL US",1.0,COOP:010631,METERS,-87.86667
34,183.8,1950-01-01,2015-11-01,34.6891,"BELLE MINA 2 N, AL US",0.995,COOP:010655,METERS,-86.8819
35,150.3,1948-01-01,2015-11-01,33.69709,"BERRY 3 NW, AL US",0.2098,COOP:010748,METERS,-87.64875
36,164.9,1954-01-01,1975-06-01,33.36667,"BESSEMER, AL US",0.9421,COOP:010757,METERS,-87.01667
37,159.1,1958-01-01,1958-06-01,33.43333,"BESSEMER, AL US",1.0,COOP:010762,METERS,-86.91667
38,132.6,1977-01-01,2015-11-01,33.39372,"BESSEMER 3 WSW, AL US",0.998,COOP:010764,METERS,-87.00672
39,188.1,2003-05-01,2007-12-01,32.94417,"BESSIE, AL US",0.9634,COOP:010768,METERS,-86.83306
40,267.9,1958-01-01,1962-03-01,34.98333,"BETHLEHEM, AL US",1.0,COOP:010776,METERS,-86.63333
41,174.0,1948-04-01,1967-12-01,34.16667,"BEXAR, AL US",0.9527,COOP:010790,METERS,-88.11667
42,134.1,1938-12-01,2015-11-01,32.6624,"BILLINGSLEY, AL US",0.7565,COOP:010823,METERS,-86.7244
43,499.9,1959-07-01,1962-03-01,34.76667,"BINGHAM MOUNTAIN, AL US",0.9692,COOP:010826,METERS,-86.28333
44,226.8,1978-10-01,1990-02-01,33.46667,"BIRMINGHAM WSFO, AL US",0.9998,COOP:010829,METERS,-86.83333
45,187.7,1948-06-01,2015-11-01,33.56545,"BIRMINGHAM AIRPORT, AL US",0.995,COOP:010831,METERS,-86.7449
46,214.0,1946-01-01,1953-10-01,33.53333,"BIRMINGHAM, AL US",1.0,COOP:010836,METERS,-86.83333
47,143.0,1948-01-01,1962-03-01,34.65,"BISHOP, AL US",0.9885,COOP:010854,METERS,-88.11667
48,98.1,1954-07-01,1957-07-01,31.66667,"BLUE SPRINGS, AL US",0.7292,COOP:010948,METERS,-85.51667
49,326.1,1938-01-01,2015-11-01,34.2008,"BOAZ, AL US",0.9198,COOP:010957,METERS,-86.1633
50,83.5,1931-01-01,1982-01-01,31.58333,"BRANTLEY, AL US",0.9885,COOP:011069,METERS,-86.26667
51,52.7,1977-03-01,2015-11-01,31.1413,"BREWTON 3 ENE, AL US",0.9892,COOP:011080,METERS,-87.0486
52,25.9,1931-01-01,2014-12-01,31.0583,"BREWTON 3 SSE, AL US",0.994,COOP:011084,METERS,-87.0549
53,203.3,1931-01-01,2015-11-01,34.9809,"BRIDGEPORT 5 NW, AL US",0.8686,COOP:011099,METERS,-85.81012
54,153.3,1960-07-01,2010-10-01,33.262,"BROOKWOOD, AL US",0.9354,COOP:011143,METERS,-87.3103
55,138.7,1931-01-01,2015-11-01,31.7055,"BRUNDIDGE, AL US",0.8479,COOP:011178,METERS,-85.8369
56,61.0,1989-06-01,2005-07-01,32.09111,"BUTLER, AL US",0.4072,COOP:011189,METERS,-88.23222
57,139.9,1981-12-01,2015-11-01,33.45143,"CAHABA PUMP HOUSE, AL US",0.9706,COOP:011225,METERS,-86.71554
58,161.5,1931-01-01,2015-11-01,33.0944,"CALERA, AL US",0.8774,COOP:011288,METERS,-86.7455
59,71.6,1950-01-01,1961-02-01,32.02889,"CAMDEN 3 NW, AL US",0.963,COOP:011300,METERS,-87.31667
60,71.6,1961-03-01,2001-12-01,32.02889,"CAMDEN 3 NW, AL US",0.9979,COOP:011301,METERS,-87.31667
61,27.1,1948-01-01,1967-12-01,31.91667,"CAMPBELL, AL US",0.7446,COOP:011315,METERS,-87.98333
62,207.3,1931-01-01,2013-12-01,32.8236,"CAMP HILL 2 NW, AL US",0.6385,COOP:011324,METERS,-85.6561
63,136.6,1938-01-01,2013-12-01,33.8463,"CARBON HILL 4 SE, AL US",0.8596,COOP:011377,METERS,-87.4871
64,184.1,2002-01-01,2015-11-01,34.15012,"CENTRE, AL US",0.9343,COOP:011490,METERS,-85.6848
65,238.0,1948-01-01,1962-03-01,34.38333,"CENTER GROVE, AL US",1.0,COOP:011492,METERS,-86.63333
66,182.9,1949-01-01,1949-03-01,34.81667,"CENTER STAR, AL US",1.0,COOP:011497,METERS,-87.41667
67,188.1,1949-01-01,1984-10-01,34.11667,"CENTRE 4 SW, AL US",0.7837,COOP:011512,METERS,-85.73333
68,67.1,1931-01-01,1973-12-01,32.95,"CENTREVILLE, AL US",0.9806,COOP:011520,METERS,-87.13333
69,100.6,1975-01-01,2015-11-01,32.929,"CENTREVILLE 2.9 SW, AL US",0.9838,COOP:011525,METERS,-87.1898
70,86.9,1949-09-01,2015-11-01,31.4715,"CHATOM, AL US",0.9799,COOP:011566,METERS,-88.2504
71,146.0,1937-01-01,1968-02-01,33.28333,"CHILDERSBURG, AL US",0.9894,COOP:011615,METERS,-86.36667
72,126.8,1957-01-01,2015-11-01,33.28152,"CHILDERSBURG WATER PLANT, AL US",1.0,COOP:011620,METERS,-86.34307
73,100.9,1931-01-01,1966-12-01,31.08333,"CITRONELLE, AL US",0.9745,COOP:011685,METERS,-88.23333
74,15.2,1952-11-01,2015-11-01,31.61469,"CLAIBORNE LOCK AND DAM, AL US",0.9115,COOP:011690,METERS,-87.5003
75,179.8,1931-01-01,2013-12-01,32.81597,"CLANTON, AL US",0.9468,COOP:011694,METERS,-86.60447
76,173.4,1931-01-01,2015-11-01,31.8709,"CLAYTON, AL US",0.9186,COOP:011725,METERS,-85.4501
77,46.0,1956-08-01,1956-12-01,33.08333,"COCHRANE 2 E, AL US",0.7958,COOP:011799,METERS,-88.23333
78,3.7,1956-10-01,2014-12-01,30.3875,"CODEN, AL US",0.9184,COOP:011803,METERS,-88.227
79,76.2,1931-01-01,1983-12-01,31.18333,"COFFEE SPRINGS, AL US",0.9717,COOP:011807,METERS,-85.93333
80,14.0,1982-12-01,2015-10-01,31.75615,"COFFEEVILLE LOCK AND DAM, AL US",0.9873,COOP:011810,METERS,-88.12876
81,143.0,1951-11-01,1981-01-01,34.75,"COLBERT STEAM PLANT, AL US",0.992,COOP:011819,METERS,-87.85
82,228.9,1938-01-01,1978-06-01,34.25,"COLLINSVILLE, AL US",0.961,COOP:011849,METERS,-85.88333
83,27.1,1935-07-01,1966-07-01,31.28333,"COLUMBIA, AL US",0.9463,COOP:011865,METERS,-85.11667
84,97.5,1932-04-01,1991-07-01,33.75,"CORDOVA, AL US",0.9944,COOP:011940,METERS,-87.15
85,66.1,1959-05-01,1986-08-01,32.15,"COTTONTON, AL US",0.9358,COOP:011974,METERS,-85.06667
86,67.1,1940-01-01,1983-02-01,32.43333,"CUBA, AL US",0.9808,COOP:012079,METERS,-88.38333
87,246.9,1994-12-01,2015-11-01,34.20667,"CULLMAN 1.5SE KRESS FARMS, AL US",1.0,COOP:012096,METERS,-86.79989
88,198.1,1931-01-01,1983-12-01,32.81667,"DADEVILLE, AL US",0.989,COOP:012119,METERS,-85.75
89,222.2,1948-01-01,2015-11-01,32.86028,"DADEVILLE 2, AL US",0.4061,COOP:012124,METERS,-85.74747
90,64.0,1931-01-01,1965-06-01,33.06667,"DANCY, AL US",0.9783,COOP:012141,METERS,-88.28333
91,182.9,1949-01-01,1962-03-01,34.41667,"DANVILLE, AL US",1.0,COOP:012149,METERS,-87.08333
92,2.4,1975-08-01,2015-11-01,30.2505,"DAUPHIN ISLAND NUMBER 2, AL US",0.9876,COOP:012172,METERS,-88.0775
93,70.1,1940-01-01,1982-03-01,32.36667,"DAYTON, AL US",0.9902,COOP:012188,METERS,-87.65
94,177.1,1931-01-01,1969-10-01,34.58333,"DECATUR, AL US",0.9892,COOP:012207,METERS,-86.96667
95,167.6,1998-12-01,2015-11-01,34.57556,"DECATUR 4 SE, AL US",1.0,COOP:012209,METERS,-86.93389
96,174.0,1949-01-01,1962-03-01,34.61667,"DECATUR 4, AL US",1.0,COOP:012216,METERS,-86.98333
97,180.1,1949-01-01,1962-03-01,34.6,"DECATUR SUBSTATION, AL US",1.0,COOP:012221,METERS,-86.96667
98,313.9,1956-09-01,1977-06-01,33.43333,"DELTA, AL US",0.9001,COOP:012235,METERS,-85.7
99,31.1,1931-01-01,1954-08-01,32.51667,"DEMOPOLIS LOCK 4, AL US",0.9719,COOP:012240,METERS,-87.85
100,30.5,1951-07-01,2015-11-01,32.5193,"DEMOPOLIS LOCK AND DAM, AL US",0.9844,COOP:012245,METERS,-87.88
101,143.3,2005-10-01,2015-11-01,33.74778,"DORA, AL US",0.7378,COOP:012350,METERS,-87.05861
102,112.1,1931-01-01,2015-11-01,31.31767,"DOTHAN REGIONAL AIRPORT, AL US",0.4966,COOP:012372,METERS,-85.44324
103,83.8,1952-04-01,2015-11-01,31.1941,"DOTHAN, AL US",0.954,COOP:012377,METERS,-85.3708
104,246.9,1957-01-01,1978-09-01,34.15,"DOUBLE SPRINGS, AL US",1.0,COOP:012386,METERS,-87.41667
105,59.4,1931-01-01,2010-12-01,31.4238,"ELBA, AL US",0.95,COOP:012577,METERS,-86.0667
106,235.0,1959-01-01,1962-03-01,34.88333,"ELKMONT, AL US",1.0,COOP:012600,METERS,-86.91667
107,76.8,1940-01-01,2000-07-01,33.25694,"ELROD, AL US",0.9904,COOP:012632,METERS,-87.79722
108,116.1,1956-02-01,1966-05-01,31.31667,"ENTERPRISE, AL US",0.9681,COOP:012670,METERS,-85.85
109,102.7,1966-06-01,2015-11-01,31.2975,"ENTERPRISE 4 W, AL US",0.9327,COOP:012675,METERS,-85.8996
110,61.6,1931-01-01,1966-12-01,31.86667,"EUFAULA, AL US",0.963,COOP:012727,METERS,-85.15
111,91.4,1967-01-01,2015-11-01,32.0112,"EUFAULA WILDLIFE REF, AL US",0.9745,COOP:012730,METERS,-85.0901
112,318.5,1998-06-01,2000-02-01,34.315,"EVA, AL US",1.0,COOP:012737,METERS,-86.72556
113,33.5,1938-05-01,1958-01-01,32.77472,"WARRIOR LOCK AND DAM, AL US",0.9659,COOP:012742,METERS,-87.83056
114,88.4,1931-01-01,2015-11-01,31.4449,"EVERGREEN, AL US",0.7714,COOP:012758,METERS,-86.9532
115,78.0,1938-10-01,1961-07-01,31.41667,"EVERGREEN INTERMEDIATE FIELD, AL US",0.854,COOP:012763,METERS,-87.03333
116,7.0,1931-01-01,2015-11-01,30.5468,"FAIRHOPE 2 NE, AL US",0.9941,COOP:012813,METERS,-87.8807
117,70.1,1940-01-01,1964-12-01,31.1,"FALCO OPEN POND TOWER, AL US",0.8033,COOP:012832,METERS,-86.55
118,190.5,1948-01-01,1992-06-01,34.36667,"FALKVILLE, AL US",0.9907,COOP:012840,METERS,-86.88333
119,198.1,1940-07-01,1965-04-01,34.06667,"FALLS CITY BLK POND, AL US",0.8356,COOP:012848,METERS,-87.33333
120,174.0,1949-01-01,1962-03-01,34.56667,"FARLEY, AL US",0.9248,COOP:012867,METERS,-86.56667
121,100.9,1931-01-01,2010-12-01,33.67955,"FAYETTE, AL US",0.8292,COOP:012883,METERS,-87.82993
122,427.0,1948-01-01,1962-03-01,34.76667,"FLAT ROCK, AL US",0.9709,COOP:012945,METERS,-85.68333
123,176.2,1931-01-01,1977-06-01,34.8,"FLORENCE, AL US",0.6685,COOP:012971,METERS,-87.68333
124,136.9,1936-02-01,1959-11-01,34.78333,"FLORENCE AT LOCK, AL US",1.0,COOP:012976,METERS,-87.66667
125,153.0,1940-12-01,1970-05-01,31.98333,"FORT DEPOSIT, AL US",0.8595,COOP:013024,METERS,-86.58333
126,3.0,1948-01-01,1975-08-01,30.225833,"FORT MORGAN, AL US",0.9668,COOP:013035,METERS,-88.025833
127,279.5,1935-08-01,2015-11-01,34.4406,"FORT PAYNE, AL US",0.8734,COOP:013043,METERS,-85.7236
128,83.8,1931-01-01,2000-11-01,31.38944,"FRISCO CITY 3 SSW, AL US",0.9595,COOP:013105,METERS,-87.42028
129,174.0,1931-01-01,1968-03-01,34.01667,"GADSDEN, AL US",0.9687,COOP:013151,METERS,-86.0
130,172.2,1953-01-01,2015-11-01,34.0219,"GADSDEN, AL US",0.9457,COOP:013154,METERS,-85.9878
131,38.1,1937-01-01,2015-11-01,32.8347,"GAINESVILLE LOCK, AL US",0.9874,COOP:013160,METERS,-88.1341
132,153.0,1938-01-01,1984-04-01,34.01667,"GARDEN CITY, AL US",0.9498,COOP:013200,METERS,-86.75
133,198.1,1959-07-01,1962-03-01,34.73333,"GARTH, AL US",0.9994,COOP:013215,METERS,-86.3
134,44.2,1976-05-01,2015-11-01,31.0383,"GENEVA NUMBER 2, AL US",0.9958,COOP:013251,METERS,-85.8708
135,32.3,1931-01-01,1976-03-01,31.03861,"GENEVA, AL US",0.9816,COOP:013255,METERS,-85.87
136,91.4,1956-03-01,2004-07-01,31.67722,"GEORGIANA, AL US",0.938,COOP:013271,METERS,-86.80611
137,39.9,1957-07-01,1979-03-01,31.88333,"GILBERTOWN, AL US",0.9809,COOP:013308,METERS,-88.33333
138,307.8,1931-01-01,1954-06-01,33.06667,"GOODWATER, AL US",0.9965,COOP:013399,METERS,-86.05
139,106.7,1937-01-01,1994-10-01,33.66667,"GORGAS, AL US",0.9654,COOP:013430,METERS,-87.18333
140,85.0,1954-07-01,1965-02-01,31.18333,"GREEN BAY, AL US",0.9688,COOP:013496,METERS,-86.28333
141,75.9,1931-01-01,2015-11-01,32.69212,"GREENSBORO, AL US",0.9676,COOP:013511,METERS,-87.57603
142,104.2,1931-01-01,2015-11-01,31.7901,"GREENVILLE, AL US",0.9627,COOP:013519,METERS,-86.6087
143,128.0,1948-01-01,1966-12-01,31.83333,"GREENVILLE 2, AL US",0.8004,COOP:013524,METERS,-86.63333
144,3.0,1948-08-01,1973-12-01,30.28333,"GULF SHORES POST OFFICE, AL US",0.9114,COOP:013559,METERS,-87.68333
145,176.2,1931-01-01,2015-11-01,34.3344,"GUNTERSVILLE, AL US",0.8852,COOP:013573,METERS,-86.3297
146,181.4,1995-11-01,2015-11-01,34.3347,"GUNTERSVILLE NUMBER 2, AL US",0.9835,COOP:013575,METERS,-86.3294
147,182.9,1948-01-01,1981-01-01,34.35,"GUNTERSVILLE, AL US",0.9583,COOP:013578,METERS,-86.3
148,185.9,1948-01-01,1962-03-01,34.43333,"GUNTERSVILLE DAM, AL US",0.9534,COOP:013583,METERS,-86.4
149,272.5,2004-06-01,2005-06-01,34.28194,"HACKLEBURG, AL US",1.0,COOP:013610,METERS,-87.85444
150,280.4,1936-07-01,2015-11-01,34.2314,"HALEYVILLE, AL US",0.9801,COOP:013620,METERS,-87.6352
151,167.9,1938-09-01,1961-12-01,34.13333,"HAMILTON, AL US",0.9857,COOP:013644,METERS,-87.98333
152,149.4,1962-01-01,2015-11-01,34.13884,"HAMILTON, AL US",0.997,COOP:013645,METERS,-87.99466
153,179.8,1973-04-01,2015-11-01,34.06081,"HANCEVILLE, AL US",0.9862,COOP:013655,METERS,-86.79056
154,182.9,1940-01-01,1962-06-01,32.8,"HARRISBURG CAHABA TOWER, AL US",0.8853,COOP:013697,METERS,-87.18333
155,97.5,1995-05-01,1995-10-01,32.26667,"HATCHECHUBBEE, AL US",0.9925,COOP:013722,METERS,-85.28333
156,52.1,1938-01-01,1981-06-01,32.18333,"HAYNEVILLE, AL US",0.9656,COOP:013748,METERS,-86.58333
157,112.8,1950-04-01,2015-11-01,31.3625,"HEADLAND, AL US",0.9632,COOP:013761,METERS,-85.3397
158,307.8,1956-01-01,2015-11-01,33.64347,"HEFLIN, AL US",0.9527,COOP:013775,METERS,-85.60944
159,146.3,2000-03-01,2015-11-01,33.2725,"HELENA, AL US",0.9947,COOP:013781,METERS,-86.83361
160,126.8,1931-01-01,1950-12-01,33.28333,"HELENA, AL US",0.9958,COOP:013783,METERS,-86.85
161,132.0,1931-01-01,2011-12-01,31.8814,"HIGHLAND HOME, AL US",0.9722,COOP:013816,METERS,-86.2503
162,172.2,2012-01-01,2015-11-01,31.9477,"HIGHLAND HOME NUMBER 2, AL US",0.8726,COOP:013818,METERS,-86.3131
163,361.2,1941-08-01,2013-12-01,33.52111,"HIGHTOWER, AL US",0.9252,COOP:013842,METERS,-85.38056
164,256.0,1938-01-01,2000-03-01,34.36056,"HODGES, AL US",0.9813,COOP:013899,METERS,-87.92833
165,59.4,1981-01-01,2015-11-01,33.2533,"HOLT LOCK AND DAM, AL US",0.9643,COOP:013930,METERS,-87.45
166,185.9,1949-01-01,1962-03-01,34.71667,"HUNTSVILLE SUBSTATION, AL US",1.0,COOP:014060,METERS,-86.58333
167,190.0,1958-07-01,2015-11-01,34.64406,"HUNTSVILLE INTNL AIRPORT, AL US",0.997,COOP:014064,METERS,-86.78615
168,185.9,1937-01-01,1954-07-01,34.7,"HUNTSVILLE 4 SSE, AL US",0.9952,COOP:014068,METERS,-86.583333
169,122.5,1978-03-01,2015-11-01,32.24635,"HURTSBORO, AL US",0.7903,COOP:014080,METERS,-85.41399
170,305.1,1959-09-01,1962-03-01,34.31667,"HUSTLEVILLE, AL US",1.0,COOP:014085,METERS,-86.16667
171,494.1,1948-01-01,1962-03-01,34.81667,"HYTOP, AL US",0.9768,COOP:014099,METERS,-86.11667
172,467.0,1956-01-01,1962-03-01,34.71667,"IDER, AL US",0.8931,COOP:014115,METERS,-85.68333
173,3.0,1950-02-01,1961-08-01,31.55,"JACKSON LOCK 1, AL US",0.9085,COOP:014192,METERS,-88.01667
174,67.1,1961-10-01,2015-11-01,31.5253,"JACKSON, AL US",0.8846,COOP:014193,METERS,-87.9277
175,146.0,1937-01-01,1960-03-01,33.53333,"JACKSON SHOALS, AL US",0.9679,COOP:014198,METERS,-86.2
176,192.0,1948-02-01,2015-11-01,33.82585,"JACKSONVILLE, AL US",0.8305,COOP:014209,METERS,-85.78115
177,113.1,1955-01-01,1960-08-01,33.83333,"JASPER, AL US",0.9116,COOP:014225,METERS,-87.28333
178,148.1,1960-08-01,2015-11-01,33.9048,"JASPER, AL US",0.9006,COOP:014226,METERS,-87.3154
179,44.5,1981-01-01,2013-12-01,32.3237,"JONES BLUFF LOCK AND DAM, AL US",0.9672,COOP:014274,METERS,-86.7827
180,88.4,1937-01-01,1992-12-01,32.6189,"JORDAN DAM, AL US",0.9643,COOP:014306,METERS,-86.2544
181,82.3,1965-06-01,2006-12-01,31.24028,"KINSTON, AL US",0.9038,COOP:014431,METERS,-86.19472
182,225.6,1944-11-01,2015-11-01,32.9069,"LAFAYETTE 2 W, AL US",0.9403,COOP:014502,METERS,-85.4336
183,128.0,1937-01-01,1992-09-01,32.96333,"LAY DAM, AL US",0.9791,COOP:014603,METERS,-86.52
184,186.5,1931-01-01,2015-11-01,33.52319,"LEEDS, AL US",0.9647,COOP:014619,METERS,-86.58011
185,180.1,1938-01-01,1981-10-01,34.18333,"LEESBURG, AL US",0.9734,COOP:014627,METERS,-85.76667
186,155.4,1949-01-01,1950-05-01,33.61667,"LINCOLN, AL US",1.0,COOP:014734,METERS,-86.11667
187,39.0,1937-10-01,2011-12-01,32.5811,"LIVINGSTON, AL US",0.9439,COOP:014798,METERS,-88.1897
188,88.1,1942-10-01,1964-06-01,31.01667,"LOCKHART, AL US",0.9694,COOP:014822,METERS,-86.36667
189,3.0,1932-01-01,1950-02-22,31.55,"JACKSON LOCK 1, AL US",0.9952,COOP:014830,METERS,-88.01667
190,6.1,1932-01-01,1950-01-01,32.13333,"PENNINGTON LOCK 2, AL US",0.9998,COOP:014835,METERS,-88.03333
191,9.1,1932-01-01,1950-01-01,32.28333,"WHITFIELD LOCK 3, AL US",0.9998,COOP:014840,METERS,-88.01667
192,156.1,1931-01-01,1948-12-01,33.63333,"LINCOLN LOCK 4, AL US",0.9999,COOP:014845,METERS,-86.18333
193,85.3,1938-03-01,1956-12-01,33.4527,"BANKHEAD LOCK AND DAM, AL US",0.9156,COOP:014855,METERS,-87.3572
194,137.2,1981-10-01,1992-12-01,33.42583,"LOGAN MARTIN DAM, AL US",0.9998,COOP:014866,METERS,-86.33861
195,146.3,1957-11-01,1990-05-01,31.78333,"LOUISVILLE, AL US",0.9975,COOP:014884,METERS,-85.55
196,177.1,1931-01-01,1974-12-01,34.7,"MADISON, AL US",0.9659,COOP:014976,METERS,-86.75
197,198.1,1937-01-01,1977-06-01,33.5,"MAGELLA, AL US",0.9796,COOP:014996,METERS,-86.85
198,54.9,1948-01-01,1963-10-01,32.13333,"MAGNOLIA, AL US",1.0,COOP:015004,METERS,-87.65
199,189.0,1931-06-01,1939-01-01,34.2,"MAPLE GROVE, AL US",0.1304,COOP:015072,METERS,-85.8
200,64.0,1931-01-01,1967-11-30,32.63333,"MARION, AL US",0.9503,COOP:015108,METERS,-87.3
201,52.4,1967-11-01,2004-12-31,32.70278,"MARION 7 NE, AL US",0.9932,COOP:015112,METERS,-87.26806
202,61.6,1938-11-01,1969-12-01,32.44444,"MARION JUNCTION, AL US",0.9786,COOP:015116,METERS,-87.17972
203,61.0,1950-02-01,2015-11-01,32.4715,"MARION JUNCTION 2 NE, AL US",0.9912,COOP:015121,METERS,-87.2313
204,125.0,1931-01-01,1992-09-01,32.7028,"WALNUT HILL 3 W, AL US",0.9865,COOP:015140,METERS,-85.8936
205,57.9,1956-08-01,2015-11-01,32.2603,"MATHEWS, AL US",0.6714,COOP:015172,METERS,-86.0003
206,53.0,1934-05-01,1956-07-01,32.38333,"MAXWELL AFB, AL US",0.9999,COOP:015202,METERS,-86.35
207,164.9,1951-01-01,1953-12-01,33.36667,"BESSEMER, AL US",0.972,COOP:015233,METERS,-87.01667
208,106.7,1940-01-01,2015-11-01,31.9305,"MELVIN, AL US",0.6125,COOP:015354,METERS,-88.4587
209,182.9,1940-01-01,1970-06-01,32.88333,"MERTZ PONDVILLE TOWER, AL US",0.9455,COOP:015382,METERS,-87.33333
210,125.6,1948-01-01,2015-05-01,32.03474,"MIDWAY, AL US",0.2003,COOP:015397,METERS,-85.47396
211,24.1,1931-01-01,1967-10-01,32.1,"MILLERS FERRY, AL US",0.948,COOP:015417,METERS,-87.36667
212,35.1,1981-01-01,2015-11-01,32.1002,"MILLERS FERRY LOCK AND DAM, AL US",0.9667,COOP:015420,METERS,-87.3982
213,110.0,1931-01-01,1948-09-01,31.63333,"MILLRY, AL US",0.5915,COOP:015427,METERS,-88.31667
214,213.4,1931-01-01,1938-12-01,33.03333,"MILLTOWN, AL US",0.75,COOP:015431,METERS,-85.48333
215,84.4,1981-10-01,2015-10-01,33.57336,"MILLPORT 2 E, AL US",0.9584,COOP:015435,METERS,-88.02598
216,65.5,1931-01-01,2013-12-01,32.4419,"MILSTEAD, AL US",0.9478,COOP:015439,METERS,-85.8889
217,113.1,1957-01-01,1978-07-01,32.1,"MINTER 3 NW, AL US",1.0,COOP:015449,METERS,-87.03333
218,128.0,1959-02-01,1966-09-01,32.11667,"MINTER 4 NW, AL US",0.0465,COOP:015454,METERS,-87.05
219,106.7,1937-01-01,1992-12-01,32.80444,"MITCHELL DAM, AL US",0.9688,COOP:015465,METERS,-86.44639
220,11.9,1966-02-01,1967-02-01,30.68333,"MOBILE ALA ST DOCKS, AL US",0.0586,COOP:015474,METERS,-88.03333
221,65.5,1948-01-01,2015-11-01,30.68819,"MOBILE REGIONAL AIRPORT, AL US",0.9951,COOP:015478,METERS,-88.24598
222,3.0,1948-01-01,1965-12-01,30.68333,"MOBILE, AL US",0.9814,COOP:015483,METERS,-88.03333
223,488.0,1948-01-01,1962-03-01,34.75,"MONTE SANO, AL US",0.9943,COOP:015529,METERS,-86.51667
224,125.0,1940-11-01,2015-11-01,33.098,"MONTEVALLO, AL US",0.8757,COOP:015537,METERS,-86.8658
